framework,style,impl_params,instance_norm,url
luatorch,candy,True,True,https://download.pystiche.org/models/johnson_alahi_li_2016_transformer__candy__impl_params__instance_norm-9e7232f6.pth
luatorch,composition_vii,True,False,https://download.pystiche.org/models/johnson_alahi_li_2016_transformer__composition_vii__impl_params-f2ea4551.pth
luatorch,feathers,True,True,https://download.pystiche.org/models/johnson_alahi_li_2016_transformer__feathers__impl_params__instance_norm-adc40e13.pth
luatorch,la_muse,True,False,https://download.pystiche.org/models/johnson_alahi_li_2016_transformer__la_muse__impl_params-9314f997.pth
luatorch,la_muse,True,True,https://download.pystiche.org/models/johnson_alahi_li_2016_transformer__la_muse__impl_params__instance_norm-8707503f.pth
luatorch,mosaic,True,True,https://download.pystiche.org/models/johnson_alahi_li_2016_transformer__mosaic__impl_params__instance_norm-473bf61c.pth
luatorch,starry_night,True,False,https://download.pystiche.org/models/johnson_alahi_li_2016_transformer__starry_night__impl_params-e451b759.pth
luatorch,the_scream,True,True,https://download.pystiche.org/models/johnson_alahi_li_2016_transformer__the_scream__impl_params__instance_norm-fcc9e645.pth
luatorch,the_wave,True,False,https://download.pystiche.org/models/johnson_alahi_li_2016_transformer__the_wave__impl_params-d81a9d37.pth
luatorch,udnie,True,True,https://download.pystiche.org/models/johnson_alahi_li_2016_transformer__udnie__impl_params__instance_norm-dd85f0fb.pth
pystiche,candy,False,False,https://download.pystiche.org/models/johnson_alahi_li_2016_transformer__candy-acf8d7a3.pth
pystiche,candy,True,False,https://download.pystiche.org/models/johnson_alahi_li_2016_transformer__candy__impl_params-086d9e54.pth
pystiche,candy,True,True,https://download.pystiche.org/models/johnson_alahi_li_2016_transformer__candy__impl_params__instance_norm-6e96615c.pth
pystiche,candy,False,True,https://download.pystiche.org/models/johnson_alahi_li_2016_transformer__candy__instance_norm-d224195f.pth
pystiche,composition_vii,False,False,https://download.pystiche.org/models/johnson_alahi_li_2016_transformer__composition_vii-2c1720e9.pth
pystiche,composition_vii,True,False,https://download.pystiche.org/models/johnson_alahi_li_2016_transformer__composition_vii__impl_params-c0aa3c01.pth
pystiche,composition_vii,True,True,https://download.pystiche.org/models/johnson_alahi_li_2016_transformer__composition_vii__impl_params__instance_norm-13859fb5.pth
pystiche,composition_vii,False,True,https://download.pystiche.org/models/johnson_alahi_li_2016_transformer__composition_vii__instance_norm-4907b339.pth
pystiche,feathers,False,False,https://download.pystiche.org/models/johnson_alahi_li_2016_transformer__feathers-c54414c3.pth
pystiche,feathers,True,False,https://download.pystiche.org/models/johnson_alahi_li_2016_transformer__feathers__impl_params-52731592.pth
pystiche,feathers,True,True,https://download.pystiche.org/models/johnson_alahi_li_2016_transformer__feathers__impl_params__instance_norm-2f7ed3f1.pth
pystiche,feathers,False,True,https://download.pystiche.org/models/johnson_alahi_li_2016_transformer__feathers__instance_norm-ffd8ecdd.pth
pystiche,la_muse,False,False,https://download.pystiche.org/models/johnson_alahi_li_2016_transformer__la_muse-b01ef475.pth
pystiche,la_muse,True,False,https://download.pystiche.org/models/johnson_alahi_li_2016_transformer__la_muse__impl_params-cee0343c.pth
pystiche,la_muse,True,True,https://download.pystiche.org/models/johnson_alahi_li_2016_transformer__la_muse__impl_params__instance_norm-7ebe0631.pth
pystiche,la_muse,False,True,https://download.pystiche.org/models/johnson_alahi_li_2016_transformer__la_muse__instance_norm-6c443eeb.pth
pystiche,mosaic,False,False,https://download.pystiche.org/models/johnson_alahi_li_2016_transformer__mosaic-258565ce.pth
pystiche,mosaic,True,False,https://download.pystiche.org/models/johnson_alahi_li_2016_transformer__mosaic__impl_params-c8fc66b5.pth
pystiche,mosaic,True,True,https://download.pystiche.org/models/johnson_alahi_li_2016_transformer__mosaic__impl_params__instance_norm-7ac509d1.pth
pystiche,mosaic,False,True,https://download.pystiche.org/models/johnson_alahi_li_2016_transformer__mosaic__instance_norm-5768599a.pth
pystiche,starry_night,False,False,https://download.pystiche.org/models/johnson_alahi_li_2016_transformer__starry_night-dd6466d4.pth
pystiche,starry_night,True,False,https://download.pystiche.org/models/johnson_alahi_li_2016_transformer__starry_night__impl_params-8202c4a0.pth
pystiche,starry_night,True,True,https://download.pystiche.org/models/johnson_alahi_li_2016_transformer__starry_night__impl_params__instance_norm-a6ddfe41.pth
pystiche,starry_night,False,True,https://download.pystiche.org/models/johnson_alahi_li_2016_transformer__starry_night__instance_norm-21c7125a.pth
pystiche,the_scream,False,False,https://download.pystiche.org/models/johnson_alahi_li_2016_transformer__the_scream-0808dc49.pth
pystiche,the_scream,True,False,https://download.pystiche.org/models/johnson_alahi_li_2016_transformer__the_scream__impl_params-df342110.pth
pystiche,the_scream,True,True,https://download.pystiche.org/models/johnson_alahi_li_2016_transformer__the_scream__impl_params__instance_norm-7c8be1a6.pth
pystiche,the_scream,False,True,https://download.pystiche.org/models/johnson_alahi_li_2016_transformer__the_scream__instance_norm-4a6f7415.pth
